setID,compound,condition,id,time,dv
DMSO,DMSO,-,1,0,-0.0091
DMSO,DMSO,-,1,50,0.129538
DMSO,DMSO,-,1,100,0.51113
DMSO,DMSO,-,1,150,0.669932
DMSO,DMSO,-,1,200,0.747792
DMSO,DMSO,-,1,250,0.757763
DMSO,DMSO,-,1,300,0.722212
DMSO,DMSO,-,1,350,0.651372
DMSO,DMSO,-,1,400,0.66293
DMSO,DMSO,-,1,450,0.620713
DMSO,DMSO,-,1,500,0.564138
DMSO,DMSO,-,1,550,0.551666
DMSO,DMSO,-,1,600,0.513277
DMSO,DMSO,-,1,650,0.433008
DMSO,DMSO,-,1,700,0.446302
DMSO,DMSO,-,1,750,0.42539
DMSO,DMSO,-,1,800,0.414261
DMSO,DMSO,-,1,850,0.389484
DMSO,DMSO,-,1,900,0.354176
DMSO,DMSO,-,1,950,0.367993
DMSO,DMSO,-,1,1000,0.30367
DMSO,DMSO,-,1,1050,0.318551
DMSO,DMSO,-,1,1100,0.317468
DMSO,DMSO,-,1,1150,0.277716
DMSO,DMSO,-,1,1200,0.283952
DMSO,DMSO,-,1,1250,0.287593
DMSO,DMSO,-,1,1300,0.26276
DMSO,DMSO,-,1,1350,0.264627
DMSO,DMSO,-,1,1400,0.268025
DMSO,DMSO,-,1,1450,0.228311
DMSO,DMSO,-,1,1500,0.256206
DMSO,DMSO,-,1,1550,0.252416
DMSO,DMSO,-,1,1600,0.229431
DMSO,DMSO,-,1,1650,0.229954
DMSO,DMSO,-,1,1700,0.246871
DMSO,DMSO,-,1,1750,0.255814
DMSO,DMSO,-,1,1800,0.162101
DMSO,DMSO,-,2,0,0.011388
DMSO,DMSO,-,2,50,0.245651
DMSO,DMSO,-,2,100,0.621299
DMSO,DMSO,-,2,150,0.801357
DMSO,DMSO,-,2,200,0.813811
DMSO,DMSO,-,2,250,0.830193
DMSO,DMSO,-,2,300,0.81466
DMSO,DMSO,-,2,350,0.795041
DMSO,DMSO,-,2,400,0.771618
DMSO,DMSO,-,2,450,0.686967
DMSO,DMSO,-,2,500,0.603944
DMSO,DMSO,-,2,550,0.587916
DMSO,DMSO,-,2,600,0.56858
DMSO,DMSO,-,2,650,0.50928
DMSO,DMSO,-,2,700,0.531978
DMSO,DMSO,-,2,750,0.510943
DMSO,DMSO,-,2,800,0.455606
DMSO,DMSO,-,2,850,0.456685
DMSO,DMSO,-,2,900,0.366444
DMSO,DMSO,-,2,950,0.388504
DMSO,DMSO,-,2,1000,0.362658
DMSO,DMSO,-,2,1050,0.361703
DMSO,DMSO,-,2,1100,0.309055
DMSO,DMSO,-,2,1150,0.312646
DMSO,DMSO,-,2,1200,0.327878
DMSO,DMSO,-,2,1250,0.334052
DMSO,DMSO,-,2,1300,0.308152
DMSO,DMSO,-,2,1350,0.301111
DMSO,DMSO,-,2,1400,0.255292
DMSO,DMSO,-,2,1450,0.310771
DMSO,DMSO,-,2,1500,0.258476
DMSO,DMSO,-,2,1550,0.277954
DMSO,DMSO,-,2,1600,0.251294
DMSO,DMSO,-,2,1650,0.271391
DMSO,DMSO,-,2,1700,0.25209
DMSO,DMSO,-,2,1750,0.265164
DMSO,DMSO,-,2,1800,0.246871
DMSO,DMSO,-,3,0,0.003231
DMSO,DMSO,-,3,50,0.269184
DMSO,DMSO,-,3,100,0.633393
DMSO,DMSO,-,3,150,0.761858
DMSO,DMSO,-,3,200,0.819414
DMSO,DMSO,-,3,250,0.78816
DMSO,DMSO,-,3,300,0.754503
DMSO,DMSO,-,3,350,0.754796
DMSO,DMSO,-,3,400,0.65975
DMSO,DMSO,-,3,450,0.643224
DMSO,DMSO,-,3,500,0.622315
DMSO,DMSO,-,3,550,0.558504
DMSO,DMSO,-,3,600,0.579927
DMSO,DMSO,-,3,650,0.47749
DMSO,DMSO,-,3,700,0.499628
DMSO,DMSO,-,3,750,0.464687
DMSO,DMSO,-,3,800,0.449702
DMSO,DMSO,-,3,850,0.40018
DMSO,DMSO,-,3,900,0.379252
DMSO,DMSO,-,3,950,0.369146
DMSO,DMSO,-,3,1000,0.354949
DMSO,DMSO,-,3,1050,0.351574
DMSO,DMSO,-,3,1100,0.356784
DMSO,DMSO,-,3,1150,0.305097
DMSO,DMSO,-,3,1200,0.249412
DMSO,DMSO,-,3,1250,0.312892
DMSO,DMSO,-,3,1300,0.259371
DMSO,DMSO,-,3,1350,0.282096
DMSO,DMSO,-,3,1400,0.266855
DMSO,DMSO,-,3,1450,0.280684
DMSO,DMSO,-,3,1500,0.262159
DMSO,DMSO,-,3,1550,0.247944
DMSO,DMSO,-,3,1600,0.249595
DMSO,DMSO,-,3,1650,0.265222
DMSO,DMSO,-,3,1700,0.23771
DMSO,DMSO,-,3,1750,0.211096
DMSO,DMSO,-,3,1800,0.222798
DMSO,DMSO,-,4,0,0.023839
DMSO,DMSO,-,4,50,0.301639
DMSO,DMSO,-,4,100,0.595645
DMSO,DMSO,-,4,150,0.724526
DMSO,DMSO,-,4,200,0.784957
DMSO,DMSO,-,4,250,0.692433
DMSO,DMSO,-,4,300,0.723869
DMSO,DMSO,-,4,350,0.715906
DMSO,DMSO,-,4,400,0.634086
DMSO,DMSO,-,4,450,0.617748
DMSO,DMSO,-,4,500,0.57003
DMSO,DMSO,-,4,550,0.524697
DMSO,DMSO,-,4,600,0.493092
DMSO,DMSO,-,4,650,0.549129
DMSO,DMSO,-,4,700,0.460679
DMSO,DMSO,-,4,750,0.4296
DMSO,DMSO,-,4,800,0.343178
DMSO,DMSO,-,4,850,0.380962
DMSO,DMSO,-,4,900,0.372436
DMSO,DMSO,-,4,950,0.357957
DMSO,DMSO,-,4,1000,0.321563
DMSO,DMSO,-,4,1050,0.337826
DMSO,DMSO,-,4,1100,0.333094
DMSO,DMSO,-,4,1150,0.324399
DMSO,DMSO,-,4,1200,0.295667
DMSO,DMSO,-,4,1250,0.333751
DMSO,DMSO,-,4,1300,0.300305
DMSO,DMSO,-,4,1350,0.23794
DMSO,DMSO,-,4,1400,0.247686
DMSO,DMSO,-,4,1450,0.248099
DMSO,DMSO,-,4,1500,0.243442
DMSO,DMSO,-,4,1550,0.259329
DMSO,DMSO,-,4,1600,0.262935
DMSO,DMSO,-,4,1650,0.248062
DMSO,DMSO,-,4,1700,0.219837
DMSO,DMSO,-,4,1750,0.205903
DMSO,DMSO,-,4,1800,0.225226
DMSO,DMSO,-,5,0,-0.00286
DMSO,DMSO,-,5,50,0.394342
DMSO,DMSO,-,5,100,0.636007
DMSO,DMSO,-,5,150,0.684736
DMSO,DMSO,-,5,200,0.719889
DMSO,DMSO,-,5,250,0.735974
DMSO,DMSO,-,5,300,0.686998
DMSO,DMSO,-,5,350,0.630475
DMSO,DMSO,-,5,400,0.623478
DMSO,DMSO,-,5,450,0.623668
DMSO,DMSO,-,5,500,0.544482
DMSO,DMSO,-,5,550,0.53893
DMSO,DMSO,-,5,600,0.524348
DMSO,DMSO,-,5,650,0.476874
DMSO,DMSO,-,5,700,0.431891
DMSO,DMSO,-,5,750,0.437386
DMSO,DMSO,-,5,800,0.38995
DMSO,DMSO,-,5,850,0.381147
DMSO,DMSO,-,5,900,0.373314
DMSO,DMSO,-,5,950,0.353218
DMSO,DMSO,-,5,1000,0.362648
DMSO,DMSO,-,5,1050,0.3528
DMSO,DMSO,-,5,1100,0.310365
DMSO,DMSO,-,5,1150,0.277607
DMSO,DMSO,-,5,1200,0.266408
DMSO,DMSO,-,5,1250,0.287113
DMSO,DMSO,-,5,1300,0.278652
DMSO,DMSO,-,5,1350,0.246578
DMSO,DMSO,-,5,1400,0.264393
DMSO,DMSO,-,5,1450,0.28255
DMSO,DMSO,-,5,1500,0.26272
DMSO,DMSO,-,5,1550,0.242453
DMSO,DMSO,-,5,1600,0.257872
DMSO,DMSO,-,5,1650,0.214105
DMSO,DMSO,-,5,1700,0.210018
DMSO,DMSO,-,5,1750,0.222205
DMSO,DMSO,-,5,1800,0.250172
DMSO,DMSO,-,6,0,0.008564
DMSO,DMSO,-,6,50,0.377397
DMSO,DMSO,-,6,100,0.554069
DMSO,DMSO,-,6,150,0.61128
DMSO,DMSO,-,6,200,0.640266
DMSO,DMSO,-,6,250,0.671792
DMSO,DMSO,-,6,300,0.60542
DMSO,DMSO,-,6,350,0.611846
DMSO,DMSO,-,6,400,0.560866
DMSO,DMSO,-,6,450,0.522368
DMSO,DMSO,-,6,500,0.534029
DMSO,DMSO,-,6,550,0.464317
DMSO,DMSO,-,6,600,0.415778
DMSO,DMSO,-,6,650,0.444491
DMSO,DMSO,-,6,700,0.411012
DMSO,DMSO,-,6,750,0.403082
DMSO,DMSO,-,6,800,0.344602
DMSO,DMSO,-,6,850,0.319815
DMSO,DMSO,-,6,900,0.357747
DMSO,DMSO,-,6,950,0.320069
DMSO,DMSO,-,6,1000,0.303876
DMSO,DMSO,-,6,1050,0.259498
DMSO,DMSO,-,6,1100,0.277625
DMSO,DMSO,-,6,1150,0.242095
DMSO,DMSO,-,6,1200,0.286278
DMSO,DMSO,-,6,1250,0.228422
DMSO,DMSO,-,6,1300,0.249517
DMSO,DMSO,-,6,1350,0.22432
DMSO,DMSO,-,6,1400,0.207151
DMSO,DMSO,-,6,1450,0.222445
DMSO,DMSO,-,6,1500,0.203811
DMSO,DMSO,-,6,1550,0.207952
DMSO,DMSO,-,6,1600,0.17504
DMSO,DMSO,-,6,1650,0.240298
DMSO,DMSO,-,6,1700,0.178868
DMSO,DMSO,-,6,1750,0.207835
DMSO,DMSO,-,6,1800,0.184376
DMSO,DMSO,-,25,0,-0.00818
DMSO,DMSO,-,25,50,0.26061
DMSO,DMSO,-,25,100,0.645613
